Company,Product,TypeName,Inches,Ram,Memory,OpSys,Weight_kg,Price_euros,LogPrice,Model,Inches_Binned,DisplayType,Touchscreen,IPS Panel,RetinaDisplay,ResolutionWidth,ResolutionHeight,ResolutionWidthCat,ResolutionPixels,CpuBrand,CpuProduct,CpuClockSpeed_GHz,Ram_GB,PrimaryMemory,SecondaryMemory,PrimaryMemSize,PrimaryMemType,Gpu_Brand,Gpu_Product
Apple,MacBook Pro,Ultrabook,13.3,8GB,128GB SSD,macOS,1.37,1339.69,7.20019352289739,MacBook,2,Retina Display 2560x1600,0,1,1,2560,1600,2560,15.22552144570148,Intel,Core i5,2.3,8,128GB SSD,0,128GB,SSD,Intel,Iris
Apple,Macbook Air,Ultrabook,13.3,8GB,128GB Flash Storage,macOS,1.34,898.94,6.801216291421215,Macbook,2,1440x900,0,0,0,1440,900,1440,14.074793155894357,Intel,Core i5,1.8,8,128GB Flash Storage,0,128GB,Flash Storage,Intel,HD
HP,250 G6,Notebook,15.6,8GB,256GB SSD,No OS,1.86,575.0,6.354370040797351,250,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i5 7200U,2.5,8,256GB SSD,0,256GB,SSD,Intel,HD
Apple,MacBook Pro,Ultrabook,15.4,16GB,512GB SSD,macOS,1.83,2537.45,7.83891491872241,MacBook,4,Retina Display 2880x1800,0,1,1,2880,1800,2880,15.461087517014247,Intel,Core i7,2.7,16,512GB SSD,0,512GB,SSD,AMD,Radeon
Apple,MacBook Pro,Ultrabook,13.3,8GB,256GB SSD,macOS,1.37,1803.6,7.497539946546929,MacBook,2,Retina Display 2560x1600,0,1,1,2560,1600,2560,15.22552144570148,Intel,Core i5,3.1,8,256GB SSD,0,256GB,SSD,Intel,Iris
Acer,Aspire 3,Notebook,15.6,4GB,500GB HDD,Windows 10,2.1,400.0,5.991464547107982,Aspire,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,AMD,A9-Series 9420,3.0,4,500GB HDD,0,500GB,HDD,AMD,Radeon
Apple,MacBook Pro,Ultrabook,15.4,16GB,256GB Flash Storage,macOS,2.04,2139.97,7.668547089226045,MacBook,4,Retina Display 2880x1800,0,1,1,2880,1800,2880,15.461087517014247,Intel,Core i7,2.2,16,256GB Flash Storage,0,256GB,Flash Storage,Intel,Iris
Apple,Macbook Air,Ultrabook,13.3,8GB,256GB Flash Storage,macOS,1.34,1158.7,7.055053966003016,Macbook,2,1440x900,0,0,0,1440,900,1440,14.074793155894357,Intel,Core i5,1.8,8,256GB Flash Storage,0,256GB,Flash Storage,Intel,HD
Asus,ZenBook UX430UN,Ultrabook,14.0,16GB,512GB SSD,Windows 10,1.3,1495.0,7.3098814858247865,ZenBook,3,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i7 8550U,1.8,16,512GB SSD,0,512GB,SSD,Nvidia,GeForce
Acer,Swift 3,Ultrabook,14.0,8GB,256GB SSD,Windows 10,1.6,770.0,6.646390514847729,Swift,3,Full HD 1920x1080,0,1,0,1920,1080,1920,14.544796785140091,Intel,Core i5 8250U,1.6,8,256GB SSD,0,256GB,SSD,Intel,UHD
HP,250 G6,Notebook,15.6,4GB,500GB HDD,No OS,1.86,393.9,5.97609706997686,250,4,1366x768,0,0,0,1366,768,1366,13.863431773278407,Intel,Core i5 7200U,2.5,4,500GB HDD,0,500GB,HDD,Intel,HD
HP,250 G6,Notebook,15.6,4GB,500GB HDD,No OS,1.86,344.99,5.843515431104025,250,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,500GB HDD,0,500GB,HDD,Intel,HD
Apple,MacBook Pro,Ultrabook,15.4,16GB,256GB SSD,macOS,1.83,2439.97,7.799741023129695,MacBook,4,Retina Display 2880x1800,0,1,1,2880,1800,2880,15.461087517014247,Intel,Core i7,2.8,16,256GB SSD,0,256GB,SSD,AMD,Radeon
Dell,Inspiron 3567,Notebook,15.6,4GB,256GB SSD,Windows 10,2.2,498.9,6.212405674866991,Inspiron,4,Full HD 1920x1080,0,0,0,1920,1080,1920,14.544796785140091,Intel,Core i3 6006U,2.0,4,256GB SSD,0,256GB,SSD,AMD,Radeon
