"","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
"1","Apple","MacBook Pro","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","128GB SSD","Intel Iris Plus Graphics 640","macOS","1.37kg",1339.69
"2","Apple","Macbook Air","Ultrabook",13.3,"1440x900","Intel Core i5 1.8GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","macOS","1.34kg",898.94
"3","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","1.86kg",575
"4","Apple","MacBook Pro","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz","16GB","512GB SSD","AMD Radeon Pro 455","macOS","1.83kg",2537.45
"5","Apple","MacBook Pro","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz","8GB","256GB SSD","Intel Iris Plus Graphics 650","macOS","1.37kg",1803.6
"6","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz","4GB","500GB HDD","AMD Radeon R5","Windows 10","2.1kg",400
"7","Apple","MacBook Pro","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz","16GB","256GB Flash Storage","Intel Iris Pro Graphics","Mac OS X","2.04kg",2139.97
"8","Apple","Macbook Air","Ultrabook",13.3,"1440x900","Intel Core i5 1.8GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","macOS","1.34kg",1158.7
"9","Asus","ZenBook UX430UN","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce MX150","Windows 10","1.3kg",1495
"10","Acer","Swift 3","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",770
"11","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS","1.86kg",393.9
"12","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","1.86kg",344.99
"13","Apple","MacBook Pro","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz","16GB","256GB SSD","AMD Radeon Pro 555","macOS","1.83kg",2439.97
"14","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg",498.9
"15","Apple","MacBook 12""","Ultrabook",12,"IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","macOS","0.92kg",1262.4
"16","Apple","MacBook Pro","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","macOS","1.37kg",1518.55
"17","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg",745
"18","Apple","MacBook Pro","Ultrabook",15.4,"IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz","16GB","512GB SSD","AMD Radeon Pro 560","macOS","1.83kg",2858
"19","Lenovo","IdeaPad 320-15IKB","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS","2.2kg",499
"20","Dell","XPS 13","Ultrabook",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD","Intel UHD Graphics 620","Windows 10","1.22kg",979
"21","Asus","Vivobook E200HA","Netbook",11.6,"1366x768","Intel Atom x5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","0.98kg",191.9
"22","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",999
"23","HP","255 G6","Notebook",15.6,"1366x768","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","No OS","1.86kg",258
"24","Dell","Inspiron 5379","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg",819
"25","HP","15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.91kg",659
"26","Dell","Inspiron 3567","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.3kg",418.64
"27","Apple","MacBook Air","Ultrabook",13.3,"1440x900","Intel Core i5 1.6GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","Mac OS X","1.35kg",1099
"28","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",800
"29","Dell","Latitude 5590","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","8GB","256GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",1298
"30","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Nvidia GeForce 930MX","Windows 10","2.5kg",896
"31","Chuwi","LapBook 15.6""","Notebook",15.6,"Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics","Windows 10","1.89kg",244.99
"32","Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook",14,"1366x768","AMD E-Series E2-6110 1.5GHz","2GB","32GB Flash Storage","AMD Radeon R2","Windows 10","1.65kg",199
"33","HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook",17.3,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","500GB HDD","AMD Radeon 530","Windows 10","2.71kg",439
"34","Dell","XPS 13","Ultrabook",13.3,"Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",1869
"35","Apple","MacBook Air","Ultrabook",13.3,"1440x900","Intel Core i5 1.6GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","Mac OS X","1.35kg",998
"36","Lenovo","IdeaPad 120S-14IAP","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB Flash Storage","Intel HD Graphics 500","Windows 10","1.44kg",249
"37","Acer","Aspire 3","Notebook",15.6,"1366x768","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux","2.1kg",367
"38","Dell","Inspiron 5770","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.8kg",979
"39","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.86kg",488.69
"40","HP","ProBook 450","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 930MX ","Windows 10","2.1kg",879
