"Company","Product","TypeName","Inches","Cpu","Ram","PrimaryMemSize","PrimaryMemType","SecondaryMemory","OpSys","Weight","Price_euros","Model","Inches_Binned","ResolutionWidth","ResolutionHeight","DisplayType","Touchscreen","IPS_Panel","RetinaDisplay","CpuBrand","CpuProduct","CpuClockSpeed_GHz","Ram_GB","Gpu_Brand","Gpu_Product","Weight_kg"
"Apple","MacBook Pro","Ultrabook",13.3,"Intel Core i5 2.3GHz","8GB","128GB","SSD","0","macOS","1.37kg",1339.69,"MacBook","2",2560,1600,"Retina Display","0","1","1","Intel","i5",5,8,"Intel","Iris",1.37
"Apple","Macbook Air","Ultrabook",13.3,"Intel Core i5 1.8GHz","8GB","128GB","Flash Storage","0","macOS","1.34kg",898.94,"Macbook","2",1440,900,NA,"0","0","0","Intel","i5",5,8,"Intel","HD",1.34
"HP","250 G6","Notebook",15.6,"Intel Core i5 7200U 2.5GHz","8GB","256GB","SSD","0","No OS","1.86kg",575,"250","4",1920,1080,"Full HD","0","0","0","Intel","i5",5,8,"Intel","HD",1.86
"Apple","MacBook Pro","Ultrabook",15.4,"Intel Core i7 2.7GHz","16GB","512GB","SSD","0","macOS","1.83kg",2537.45,"MacBook","4",2880,1800,"Retina Display","0","1","1","Intel","i7",7,16,"AMD","Radeon",1.83
"Apple","MacBook Pro","Ultrabook",13.3,"Intel Core i5 3.1GHz","8GB","256GB","SSD","0","macOS","1.37kg",1803.6,"MacBook","2",2560,1600,"Retina Display","0","1","1","Intel","i5",5,8,"Intel","Iris",1.37
"Acer","Aspire 3","Notebook",15.6,"AMD A9-Series 9420 3GHz","4GB","500GB","HDD","0","Windows 10","2.1kg",400,"Aspire","4",1366,768,NA,"0","0","0","AMD",NA,9,4,"AMD","Radeon",2.1
"Apple","MacBook Pro","Ultrabook",15.4,"Intel Core i7 2.2GHz","16GB","256GB","Flash Storage","0","macOS","2.04kg",2139.97,"MacBook","4",2880,1800,"Retina Display","0","1","1","Intel","i7",7,16,"Intel","Iris",2.04
"Apple","Macbook Air","Ultrabook",13.3,"Intel Core i5 1.8GHz","8GB","256GB","Flash Storage","0","macOS","1.34kg",1158.7,"Macbook","2",1440,900,NA,"0","0","0","Intel","i5",5,8,"Intel","HD",1.34
"Asus","ZenBook UX430UN","Ultrabook",14,"Intel Core i7 8550U 1.8GHz","16GB","512GB","SSD","0","Windows 10","1.3kg",1495,"ZenBook","3",1920,1080,"Full HD","0","0","0","Intel","i7",7,16,"Nvidia","GeForce",1.3
"Acer","Swift 3","Ultrabook",14,"Intel Core i5 8250U 1.6GHz","8GB","256GB","SSD","0","Windows 10","1.6kg",770,"Swift","3",1920,1080,"Full HD","0","1","0","Intel","i5",5,8,"Intel","UHD",1.6
